City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hobart,-42.8794,147.3294,283.72,70,40,0.45,AU,1640515904
Jamestown,42.097,-79.2353,275.21,86,82,2.68,US,1640516171
Hervey Bay,-25.2986,152.8535,297.06,88,100,1.34,AU,1640516171
Guerrero Negro,27.9769,-114.0611,288.65,74,100,5.75,MX,1640516003
Rikitea,-23.1203,-134.9692,296.09,86,100,9.84,PF,1640516003
Ipixuna,-1.7625,-48.8043,298.12,92,100,1.46,BR,1640516172
Heraclea,37.5133,34.0467,278.3,51,5,0.63,TR,1640516173
Zakharivka,47.3333,29.75,271.93,88,100,2.35,UA,1640516173
Owando,-0.4819,15.8999,294.92,88,100,2.69,CG,1640516173
Kapaa,22.0752,-159.319,296.33,74,40,1.34,US,1640516174
San Ramon,37.7799,-121.978,280.51,90,45,0.45,US,1640516174
Clarence Town,-32.5833,151.7833,295.29,95,71,1.92,AU,1640516174
Ushuaia,-54.8,-68.3,286.96,44,20,8.75,AR,1640516174
Pangnirtung,66.1451,-65.7125,259.54,62,9,3.51,CA,1640516175
Cap Malheureux,-19.9842,57.6142,303.42,75,69,2.68,MU,1640516175
Codrington,-38.2667,141.9667,286.17,64,77,7.56,AU,1640516175
Safford,32.834,-109.7076,287.1,52,83,2.1,US,1640516175
Yellowknife,62.456,-114.3525,252.82,84,90,5.14,CA,1640516176
Nacala,-14.5428,40.6728,304.77,62,75,4.63,MZ,1640516176
Saldanha,-33.0117,17.9442,295.18,68,0,3.95,ZA,1640516176
Anadyr,64.75,177.4833,247.59,75,20,6.0,RU,1640516176
Geraldton,-28.7667,114.6,299.38,78,61,5.14,AU,1640516036
Provideniya,64.3833,-173.3,261.75,94,100,5.66,RU,1640516003
Ulladulla,-35.35,150.4667,289.69,86,100,4.89,AU,1640516177
Aykhal,66.0,111.5,248.51,96,100,0.63,RU,1640516177
Nova Olinda do Norte,-3.8881,-59.0942,297.54,96,96,1.02,BR,1640516177
Tshikapa,-6.4167,20.8,301.2,69,94,2.05,CD,1640516178
Logansport,40.7545,-86.3567,275.44,59,90,0.0,US,1640516178
Kysyl-Syr,63.8986,122.7617,234.16,99,87,1.94,RU,1640516179
Havre-St-Pierre,50.2334,-63.5986,274.15,80,1,6.17,CA,1640516179
Phan Thiet,10.9333,108.1,298.04,83,47,3.42,VN,1640516037
Pokhara,28.2333,83.9833,287.46,56,82,0.77,NP,1640516042
Chui,-33.6971,-53.4616,294.37,64,2,3.56,UY,1640516181
Touros,-5.1989,-35.4608,300.65,69,92,4.01,BR,1640516181
